,title,link,image,author,discount,publisher,pubdate,isbn,description
0,핀테크,https://search.shopping.naver.com/book/catalog/32438306822,https://shopping-phinf.pstatic.net/main_3243830/32438306822.20230920073135.jpg,한석주,11400,커뮤니케이션북스,20151101,9791130441436,"디지털 기술의 발달은 금융의 모든 것을 바꾸고 있다. 기술 기반의 스타트업들과 비금융권 기업들이 금융 시장에 진입하며 은행을 해체하고 대체해 가는 시대가 오고 있다. 핀테크의 핵심은 기술을 통해 기존의 금융 기관이 제공하지 못했던 부분을 채워 주고, 편의성 증대, 비용 절감, 리스크 분산, 기대 수익 증가 등 고객에게 새로운 가치를 주는 데 있다. 특히 고객들이 쌓은 데이터를 분석해 틈새를 찾아내고 새로운 시장으로 만드는 것이 중요하다. 이 책은 핀테크의 의미와 지급 결제, 대출, 자산관리, 가상 화폐 등 다양한 분야별 성공 사례와 시사점, 오프라인 기업의 대응, 그리고 각국의 핀테크 산업 육성 정책에 대해 살펴본다."
1,핀테크 (IT와 금융이 만나는 새로운 세상),https://search.shopping.naver.com/book/catalog/32506472036,https://shopping-phinf.pstatic.net/main_3250647/32506472036.20220527060350.jpg,강창호,0,한빛미디어,20150605,9788968482007,"금융과 기술로 혁신하는 핀테크 시장을 선점하라!

상시 연결된 디지털 세상에서 혁신적인 금융 서비스를 제공하기 위한 최고의 핀테크 안내서!

핀테크’란 금융을 뜻하는 파이낸셜(Financial)과 기술(Technology)의 합성어로 스마트 기기를 이용한 지급 결제 서비스뿐만 아니라 예금과 대출 및 자산 관리 등의 각종 금융 서비스를 IT 기술을 통해 처리하는 금융과 IT가 융합된 산업을 뜻한다. 이 책에서는 핀테크로 시작된 디지털 금융의 혁신을 위해 변화하는 시장 상황과 다양한 해외 선도 기업의 사례를 알아보고, 기업이 어떻게 변화해야 할 것인지 구체적으로 살펴본다. 애플, 구글, 페이팔, 알리바바 등 최신 기술을 무기로 새롭게 등장한 금융 플레이어들과 대적하기 위해 반드시 알고 있어야 할 핀테크의 모든 것을 다루면서 기술과 금융을 소비하는 금융 소비자에 대한 이해 및 소비자 경험 향상을 통해 기업이 나아가야 할 방향을 제시한다. 이 책은 핀테크 전문가가 들려주는 가장 확실한 핀테크 혁신 노하우로, 디지털 금융 혁신을 이해하고 준비하려는 금융 기관의 임원 및 현업 담당자뿐만 아니라 핀테크와 관련된 다양한 해외 사례 및 활용 방법을 고민하고 있는 금융 IT 종사자, 디지털 뱅킹의 미래에 대해 인사이트를 얻고자 하는 사람들에게도 실질적인 도움을 줄 수 있는 책이다."
2,핀테크 전쟁 (세계 금융 시장의 거대한 트렌드 | 새로운 돈의 시대가 온다),https://search.shopping.naver.com/book/catalog/32466678930,https://shopping-phinf.pstatic.net/main_3246667/32466678930.20230920071709.jpg,브렛 킹,13500,예문,20150612,9788956592503,"다가오는 미래, 달라지는 금융의 패러다임을 한 권으로 읽는다!

핀테크란 금융을 뜻하는 파이낸셜(financial)과 기술(techique)의 합성어이다. 즉, IT와 금융의 융합형 산업을 뜻한다. 『핀테크 전쟁』은 이러한 핀테크의 미래에 관한 통찰력을 제공하고, 앞으로 20~30년 동안 금융계의 흐름을 좌우할 기술과 비즈니스 모델을 보여준다. 이에 세계적으로 핀테크 산업을 주도하는 CEO와 전문가 29인 및 금융 평론가 브렛 킹의 대담 내용을 담았다.

세계 최대 금융 관련 팟캐스트인 《Breaking Banks》의 방송 내용을 엮은 이 책은 P2P대출과 커뮤니티뱅킹, 지불결제, 지점이 사라진 인터넷 전문 은행, 비트코인, 디지털 혹은 암호화 화폐, 재무 복지와 저축을 돕는 신개념 도구 등 핀테크의 전 분야에 관한 설명 및 궁금증과 현황, 전망을 소개한다. 이를 통해 요즘 대세라는 핀테크가 무엇인지, 그리고 앞으로 돈의 흐름이 어디로 향할 것인지에 관한 인사이트를 얻을 수 있을 것이다."
3,핀테크 4.0 (핀테크 혁명과 금융의 미래),https://search.shopping.naver.com/book/catalog/32677902620,https://shopping-phinf.pstatic.net/main_3267790/32677902620.20221019104441.jpg,김종현,17100,한국금융연수원,20220524,9788928727292,본서에서는 세계 최초로 핀테크 산업의 발전을 4단계로 구분하여 설명하는 [핀테크 4.0]의 개념을 도입하였다. 이러한 개념적 틀을 토대로 핀테크 산업에 대한 이론적인 설명 및 실무의 이해와 필요한 긴요한 요소들을 적재적소에 배치하였다. 아울러 60여개의 핀테크 기업에 대한 상세 분석을 포함한 풍부한 실례를 다뤘기에 산업계뿐만 아니라 교육현장에서도 활용가능성이 높다.
4,핀테크 혁명 (모바일 은행 설립자가 알려주는 핀테크 시대의 돈 관리 기술),https://search.shopping.naver.com/book/catalog/32466958984,https://shopping-phinf.pstatic.net/main_3246695/32466958984.20221229072809.jpg,앤 보덴,20700,유엑스리뷰,20200303,9791188314430,"다양한 핀테크 서비스와 비즈니스 모델을 완벽히 분석하여 핀테크의 가능성과 모바일 기반의 돈 관리 기술을 이해시켜 주는 책. 영국 최고의 모바일 은행 스탈링뱅크의 창업자이자 금융 전문가인 앤 보덴은 이 책을 통해 우리가 돈을 어떻게 저축하고, 지출하고, 투자하면 좋을지 집중 조명한다. 스마트폰을 이용한 몇 가지의 새로운 행동을 받아들이는 것만으로도 은행 잔고는 한층 풍족해질 수 있다. 이 책은 돈에 관한 전통적인 사고방식을 날려주고, 그동안 우리가 금융기관에 대해 가졌던 고정관념을 깬다. 또 스마트 뱅킹과 오픈뱅킹의 이점 및 핀테크의 새로운 솔루션을 알려줌으로써, 저축과 투자에서부터 연금, 각종 요금 납부, 해외여행 경비에 이르기까지 넓은 범위에서 다양한 핀테크식 해결책을 다룬다. 영국의 핀테크 서비스 사례들을 중점적으로 다루면서 핀테크를 쉽고 흥미롭게 이해할 수 있게 해주며, 동시에 개인을 위한 혁신적 돈 관리 기술들을 소개함으로써 사람들이 더 스마트하게 소비하고 저축하는 방안을 제시한다."
5,핀테크가 강한 나라 (석학 9인의 금융 플랫폼 미래 통찰),https://search.shopping.naver.com/book/catalog/46825713618,https://shopping-phinf.pstatic.net/main_4682571/46825713618.20240404092906.jpg,강형구^김솔^김우진^류혁선^안수현,35100,한울아카데미,20240408,9788946075139,"빅테크 플랫폼 시대에 금융이 나아갈 길

최근 10년 금융 서비스는 몰라보게 달라졌다. 스마트폰으로 언제 어디서든 여러 은행의 금리를 비교하며 지점에 직접 가지 않고도 통장을 만들고 대출이나 환전 같은 업무를 볼 수 있다. 
스마트폰 보급과 다양한 핀테크 서비스들의 등장으로 금융의 경계가 흐려지고 있으며 금융과 정보통신기술의 결합으로 등장한 새로운 핀테크 산업에 기대와 우려가 겹쳐 있다.
금융은 항상 당시 최고의 기술을 활용하여 발전해 왔다. 새로운 기술 및 사업 모델의 창의적 활용을 권장하고 금융 혁신의 제도적 기반을 제공하면서도 소비자 보호, 금융회사와 플랫폼 간 공정한 협업과 경쟁, 금융시스템의 안정 등을 뒷받침할 수 있는 제도를 수립하는 것이 필요하다. 
이러한 문제의식을 가지고 여러 학문 분야의 석학들이 머리를 맞대고 금융 플랫폼이 제기하는 다양한 이슈를 종합적이고 균형 있게 조망했다. 이 책은 핀테크를 통해 금융소비자 보호, 금융 포용성 확대, 지속가능한 성장의 파트너이자, 금융 혁신을 이루는 등 한국 금융이 나아가야 할 길을 제시한다. 또한 이러한 미래 비전을 위해 정부가 의지를 가지고 갖추어야 할 제도와 규제는 어떠해야 할지에 대한 고민도 담았다."
6,핀테크와 법 (제3판),https://search.shopping.naver.com/book/catalog/32441765997,https://shopping-phinf.pstatic.net/main_3244176/32441765997.20221229073758.jpg,강현구^유주선^이성남,19800,씨아이알,20201112,9791156109020,"핀테크의 영역과 그에 대한 법률문제의 간격을 
어떻게 좁힐 수 있을 것인가

핀테크 관련 기술의 발전이 급속하게 진행 중에 있다. 2018년 개정 이후 2년이 지난 후 이러한 핀테크 관련 법제를 반영하지 않으면 안 된다는 집필자들의 의견이 모아져 개정 3판을 금번에 출간하게 된 것이다.
금번에 개정되는 제3판은 다음 내용을 업데이트하였다.

첫째, 2020년 제안된 「전자금융거래법」 개정안에 대한 내용을 담았다.
둘째, 소액해외송금업 관련 최근 개정된 「외국환거래법」의 내용을 반영하였다.
셋째, P2P 대출과 관련하여 그동안 입법 방안이라는 내용을 담고 있었지만, 금번 개정판에서는 이제 제정된 P2P 대출법인 「온라인투자연계금융업 및 이용자 보호에 관한 법률」의 내용을 새로이 기술하였다.
넷째, 「인터넷전문은행법」이 도입됨에 따라 인터넷전문은행 도입 관련 법적 쟁점에 새로운 법률의 주요 내용을 담았다.
다섯째, 핀테크와 보험 파트에 인슈어테크에 관한 최신 내용을 담았다. 보험상품 개발에서부터 보험계약의 체결 및 보험금청구 등에서 발생할 수 있는 인슈어테크의 내용을 새로이 담았다.
여섯째, 데이터 3법이 개정됨에 따라 빅데이터 관련 법적 쟁점과 그 영향 등의 내용을 담았다.
일곱째, 가상통화 관련 법제로서 불완전하지만 가상자산을 법제화한 개정 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 내용을 간략히 다루었다.
여덟째, 「금융혁신지원 특별법」의 주요 내용을 담았다. 그동안 확정되지 않았던 금융혁신지원특별법안에 대한 내용을 담았던 것을 제정된 법률의 내용으로 담았다."
7,"내일의 핀테크 (금융대혁명의 시대, 어떻게 살아남을 것인가?)",https://search.shopping.naver.com/book/catalog/32436124758,https://shopping-phinf.pstatic.net/main_3243612/32436124758.20221019145031.jpg,홍장원,11700,매경출판,20160222,9791155424070,"『내일의 핀테크』는 ‘삼성 직원을 제외하고 가장 먼저 삼성페이를 경험한’ 핀테크 전문기자 홍장원이 일반인들을 위해 쓴 '핀테크' 안내서다. 런던, 파리, 바르샤바, 실리콘밸리를 넘어 밴쿠버와 도쿄까지 6개국을 직접 돌며 풀어낸 살아있는 핀테크 이야기를 들려준다. 저자의 글을 읽으면서 핀테크가 바꿔 갈 미래의 모습을 상상해볼 수 있을 것이다."
8,차이나 핀테크 (중국에선 현금이 필요없다),https://search.shopping.naver.com/book/catalog/32438307673,https://shopping-phinf.pstatic.net/main_3243830/32438307673.20221229073433.jpg,구자근,10800,스리체어스,20180220,9791186984284,"중국은 자타가 공인하는 세계 최고의 핀테크 강국이다. 글로벌 회계법인 언스트앤드영(EY)이 발표한 '2017 핀테크 도입지수'에서 69퍼센트를 기록하며 조사대상 20개국 중 1위를 기록했고, 세계 핀테크 기업 10위권 내에 5개 기업을 올렸다. 



중국의 성공적인 핀테크 사회 진입은 중국 금융을 둘러싼 경제.사회 전반의 요소가 인터넷 플랫폼을 통해 융합하여 최적화된 서비스를 만들었기에 가능했다. 중국 핀테크 금융의 생태계가 기업, 개인, 공동체 등 사회 주체를 모두 연결하고 있다. 중국 핀테크 사례는 제도로서의 기능을 확실히 해낸 중국 금융 당국과 혁신적인 기술과 상호 공존이라는 철학으로 시장의 리더가 된 기업, 변화에 민첩하게 반응해 그대로 흡수된 소비자들이 공통으로 만들어 낸 창신의 결정체다.



저자는 중국이 신용 사회를 건너뛰어 핀테크 시스템으로 바로 진입할 수 있었던 배경과 과정에 주목한다. 알리바바와 텐센트라는 거대 IT 기업들이 전자상거래와 메신저라는 대규모 플랫폼을 어떻게 활용해 중국인들을 모바일 결제로 끌어들였는지를 각각의 핀테크 상품들로 분석했다. 알리페이와 세서미 크레딧, 위뱅크와 웨이상 등이 바꿔놓은 중국인들의 경제생활을 들여다봤다.



---



북저널리즘은 북(BOOK)과 저널리즘(JOURNALISM)의 합성어다. 우리가 지금, 깊이 읽어야 할 주제를 다룬다. 단순한 사실 전달을 넘어 새로운 관점과 해석을 제시하고 사유의 운동을 촉진한다. 현실과 밀착한 지식, 지혜로운 정보를 지향한다. bookjournalism.com"
9,핀테크 시대 (기술변화와 함께 다가오는 법과 규제 패러다임의 변화),https://search.shopping.naver.com/book/catalog/32485543581,https://shopping-phinf.pstatic.net/main_3248554/32485543581.20220527034931.jpg,고학수^권남훈^노혁준^박광배^박상철,0,박영사,20151205,9791130328034,▶ 이 책은 핀테크 시대를 다룬 이론서입니다.
0,핀테크 보안경영 (보안사령부를 구축하라),https://search.shopping.naver.com/book/catalog/32492053731,https://shopping-phinf.pstatic.net/main_3249205/32492053731.20221019145226.jpg,김려성,30600,진한엠앤비,20160420,9791170094371,"핀테크 보안은 금융거래의 신뢰성을 유지하면서 금융과 IT 융합에 의해 편의성과 다양성을 지원할 수 있어야 한다. 사용자측면의 사전 보안에서 서버측면의 사후 보안으로 보안 프레임워크가 변화되고 있다. 그래서 다양한 인증기술의 수용, 기술의 중립성 구현, 사용자의 보안의식 강화 등의 구체적 목적을 가지고 추진되어야 한다. 핀테크 서비스를 제공하는 기업은 보안대책을 수립함에 있어 핀테크 관련 보 안정책에 대한 명확한 이해를 바탕으로 종합적인 핀테크 서비스 안전성 확보방안을 수립해야 하겠다."
1,핀테크 4.0 (핀테크 혁명과 금융의 미래),https://search.shopping.naver.com/book/catalog/32454456445,https://shopping-phinf.pstatic.net/main_3245445/32454456445.20220527025312.jpg,김종현,0,한국금융연수원,20200805,9788928726127,"『핀테크 4.0』은 〈핀테크란 무엇인가?〉, 〈핀테크의 태동과 성장사〉, 〈춘추전국시대인 글로벌 핀테크 시장〉, 〈국내외 대응 현황 및 국내 핀테크 산업의 당면 이슈〉, 〈핀테크 산업의 미래〉 등이 수록되어 있다."
2,핀테크와 법 (제2판),https://search.shopping.naver.com/book/catalog/32506678795,https://shopping-phinf.pstatic.net/main_3250667/32506678795.20220527051739.jpg,강현구,0,씨아이알,20180622,9791156106067,"핀테크의 영역과 그에 대한 법률문제의 간격을 어떻게 좁힐 수 있을 것인가

『핀테크와 법』을 출간한 후 1년의 시간이 지났다. 시시각각으로 기술 발전이 거듭하고 있음에도 핀테크 관련 법률체계는 답보상태가 유지되고 있는 모습이다. 지급결제나 P2P 대출, 크라우드 펀딩, 가상통화 등의 영역에서 금융과 기술이 더욱더 결합하고 있음을 우리는 목격하고 있다.

제2판은 지난 해 출간한 제1판의 체제를 계속 유지하기로 하였다. 다만, 금번 판은 다음과 같은 사항을 추가 보완하면서 독자들의 호응에 기대키로 한다. 첫째, 1년 사이에 변화된 핀테크의 영역을 업데이트하는 작업을 하였다. 지급결제, 송금, 크라우드 펀딩, P2P 대출, 인터넷 전문은행 및 자산관리 부문에서 최신의 내용을 간략하게 담았다. 둘째, 핀테크 영역에서 가장 괄목한 만한 성장과 변모를 계속하고 있는 P2P 대출, 가상통화에 대한 내용을 보다 더 풍부하게 제공하는 작업을 하였다. 셋째, 금융혁신지원특별법, 일명 ‘핀테크 특별법’에 대한 내용을 간략하게 설명하였다. 아직 입법화되지 않았기 때문에, 금번 발간하는 책자에 삽입하는 것이 합리적인가에 대한 주저함이 없는 것은 아니었지만, 실무에서 유익할 수 있음을 감안하여 간략하게 소개하는 것으로 집필진의 의견을 정리하였다. 넷째, 짜임새나 목차 번호, 오탈자 등을 다시 수정 보완하는 작업을 하였다. 독자들의 혼동을 가져올 수 있는 목차번호나 오탈자 등이 윤독 과정 중 발견되어 이들에 대한 수정작업을 한 것이다.

양서를 출간해야 한다는 마음은 충천해 있지만, 눈 깜짝할 사이에 변화가 지속되고 있는 핀테크의 영역을 따라잡기에는 시간상, 건강상의 여건이 허락되지 않았다. 그럼에도 불구하고 우리 셋은 1년 만에 『핀테크와 법』 제2판을 발간함으로써, 제1판 발간 시 독자들과의 약속을 지키게 되었다. 부족한 부분은 지속적으로 보완할 것을 약속드린다."
3,핀테크 3.0 (핀테크 혁명과 금융의 미래),https://search.shopping.naver.com/book/catalog/32505121654,https://shopping-phinf.pstatic.net/main_3250512/32505121654.20220521130137.jpg,김종현,0,한국금융연수원,20180508,9788928724857,▶ 핀테크에 관한 내용을 담은 전문서적입니다.
4,핀테크와 법,https://search.shopping.naver.com/book/catalog/32466653988,https://shopping-phinf.pstatic.net/main_3246665/32466653988.20220527024747.jpg,강현구,0,씨아이알,20170420,9791156103066,"『핀테크와 법』은 핀테크를 이해하기 위한 기초사항을 설명하고 핀테크에 대한 기본적인 사항을 이해한 후 핀테크와 관련된 법률문제를 탐구하였다. 핀테크 영역에서 의미가 있다고 판단되는 지급결제, 해외송금, 크라우드 펀딩, P2P 대출, 인터넷전문은행, 자산관리 및 인슈어테크 등에 관한 사항이 심도 있게 논의된다."
5,핀테크 인사이트 (돈의 미래를 주도할 핀테크 기술 트렌드와 미래 예측),https://search.shopping.naver.com/book/catalog/32493234759,https://shopping-phinf.pstatic.net/main_3249323/32493234759.20221230073118.jpg,메가트렌드 랩,15300,율곡출판사,20180208,9791187897262,"바야흐로 핀테크 전성시대다. 모든 언론의 경제면에는 핀테크로 대변되는 가상화폐, 인터넷 은행, 간편결제, 로보어드바이저, P2P대출 등의 관련 기사가 쉴새없이 쏟아지고 있다. 면면을 보면 금융과 정보통신기술의 융합이라는 공통적인 키워드를 도출해낼 수 있다. 이제는 정보통신기술을 이해하지 못하면 금융을 이야기할 수 없게 되고 있다. 이 때문에 핀테크 기업이 IT 인력을 대거 흡수하고 있다. 단편적인 예로 골드만삭스가 금융이 아닌 IT 회사라는 슬로건을 걸고 있고, 실제로 약 3만 3천 명의 정규직원 중 약 9천여 명이 IT 인력으로 구성되어 있다. 

핀테크 산업의 성장으로 금융혁신이 이루어지고 있다. 기존과 다른 양상으로 사업기회가 생겨나고 있고, 크라우드펀딩이나 P2P, ICO 등의 새로운 펀딩방식이 탄생하고 있다. 핀테크는 시간이 지날수록 발전하면서 소비자들의 금융 생활을 더욱 편하게 만들 것이다. 앞으로 어떤 혁신적인 핀테크 서비스로 우리 생활을 편하게 할 수 있을지 기대가 된다. 이러한 시점에 핀테크 트렌드를 미리 파악하고 체계적인 지식을 쌓아두는 것이 불확실한 미래를 준비하는 데 큰 도움이 될 것이다. 특히 금융 및 IT 분야의 전문가들이 공동저자로 참여하여 현장의 모습을 생생하게 전하고 있다는 점이 매력적이다. 많은 독자들이 핀테크를 이해하는 데 있어 도움이 되기를 간절히 바란다(윤정석, 삼성전자 책임 연구원, 추천의 글)."
6,핀테크 트렌드 2024 (핀테크 현황과 전망 총망라!),https://search.shopping.naver.com/book/catalog/44288814623,https://shopping-phinf.pstatic.net/main_4428881/44288814623.20231128081448.jpg,길진세,17100,책세상,20231211,9791171310944,"누구도 알려주지 못한 ‘핀테크 현황과 전망’ 총망라
IT·금융권 취준생, 현직자, 스타트업 준비자 필독서

★ 핀테크 지원센터 전문위원 겸 한국금융 연수원 핀테크 강사의 ‘검증된 정보’
★ 금융과 IT 최전선에서 함께한 ‘핀테크의 시작과 발전’ 이야기
★ 면접관이 주목할, 핵심만 담은 ‘분야별 전망’
★ 핀테크 키워드 정리

19년간 IT와 핀테크 업계 최전선에서 몸담은 저자는 취준생들을 위한 특강과 핀테크 강의를 하면서 ‘금융권 취업을 희망하지만 IT와 핀테크 트렌드를 잘 몰라서 걱정이다. 관련 정보를 얻고 그 분야에 대해 배우고 싶다’는 수강생들의 이야기를 많이 들었습니다. 요즘 취준생들 사이에선 가장 일하고 싶은 기업의 앞글자만 모은 ‘네카라쿠배당토’가 신조어로 쓰이고 있습니다. 이 기업들(네이버, 카카오, 라인, 쿠팡, 배달의민족, 당근, 토스) 모두 핀테크와 직접적으로 연결되어 있으며, 핀테크는 우리의 일상 깊숙이 유용한 기술로 발전해가고 있습니다. 그만큼 관련 산업은 미래를 이끌 필수 직종으로 주목받으며, 분야별 대표 기업들은 취준생들에게 ‘꿈의 직장’으로 불리고 있습니다. 
하지만 핀테크에 관한 정보를 제대로 정리해놓은 자료는 찾기 어렵습니다. 온라인에 단편적인 정보는 여기저기에 많지만, 핀테크 산업의 전체적인 흐름을 한눈에 보여주는 자료는 없는 실정입니다. 기존의 핀테크 책들도 숲만 거론했지 안에 있는 나무들이 어떻게 생겨났고 어떤 모양인지는 세세하게 알려주지 못하고 있습니다. 그래서 저자는 핀테크 기술과 가장 맞닿아 있는 IT/금융업계 취업이 목표인 사람과 업계 동향 파악이 필수인 현직자와 스타트업 창업 준비자에게 특히 필요한, ‘이해하기 쉬운 핀테크 가이드’를 마련했습니다. 그동안 실무를 통해 쌓은 정보와 인사이트를 발휘해, 누구도 알려주지 못했던 핀테크의 시작과 발전사, 전망까지 모두 담았습니다."
7,핀테크 규제와 실무 (지급결제와 본인인증편),https://search.shopping.naver.com/book/catalog/32441626104,https://shopping-phinf.pstatic.net/main_3244162/32441626104.20230313183513.jpg,예자선,31500,삼일인포마인,20210824,9791167840059,"온·오프라인 결제와 송금, 본인확인서비스와 전자서명(인증서)에 대한 총정리

[특장점]
ㆍ한 권으로 끝내는 법규, 비즈니스 모델, 현안의 이해
ㆍ다수 이용자가 일상적으로 이용하는 결제와 송금서비스는 금융플랫폼으로 도약하기 위한 초석으로, 기존사업자들과 신규사업자들이 치열한 경쟁을 하고 있는 영역이다. 실물경제와 밀접한 관련이 있고 해외서비스와 바로 연계될 가능성이 있기 때문에 규제와 활성화 양쪽 측면에서 제도적 개입과 논의도 많은 분야이다. 전자금융거래와 밀접한 관련이 있는 본인확인 영역 역시, 공인인증서 폐지 논의와 함께 통신사가 독점하던 본인확인서비스를 대체할 수 있는 사설인증서 등장과 전자문서 활성화 추세로 새로운 국면에 접어들고 있다.
ㆍ이 책은 여신전문금융업법과 전자금융거래법, 전자서명법, 전자상거래법의 현행 법규과 개정안, 가이드라인, 유권해석 등을 망라하여, 각 비즈니스 모델의 참가 사업자들이 누구인지, 어떤 라이선스가 필요하고, 어떤 제휴관계를 맺고 있는지, 어떤 규제를 받고 있는지를 한눈에 정리함으로써, 실무 프로세스를 만들고 제도적 현안을 이해하는데 즉각적인 도움을 받을 수 있다."
